Date;Total cases;New cases;Total deaths;New deaths
2020-04-01;62;0;1;0
2020-04-02;63;1;1;0
2020-04-03;65;2;1;0
2020-04-04;87;22;2;1
2020-04-05;92;5;2;0
2020-04-06;106;14;2;0
2020-04-07;107;1;3;1
2020-04-08;117;10;5;2
2020-04-09;130;13;6;1
2020-04-10;147;17;8;2
2020-04-11;167;20;10;2
2020-04-12;177;10;11;1
2020-04-13;185;8;12;1
2020-04-14;194;9;14;2
2020-04-15;198;4;14;0
2020-04-16;212;14;14;0
2020-04-17;232;20;16;2
2020-04-18;238;6;16;0
2020-04-19;242;4;16;0
2020-04-20;247;5;16;0
2020-04-21;253;6;17;1
2020-04-22;258;5;18;1
2020-04-23;264;6;19;1
2020-04-24;278;14;20;1
2020-04-25;288;10;22;2
2020-04-26;346;58;24;2
2020-04-27;405;59;25;1
2020-04-28;409;4;25;0
2020-04-29;431;22;26;1
2020-04-30;443;12;27;1
2020-05-01;470;27;29;2
2020-05-02;503;33;31;2
2020-05-03;527;24;33;2
2020-05-04;629;102;35;2
2020-05-05;801;172;41;6
2020-05-06;880;79;44;3
2020-05-07;985;105;47;3
2020-05-08;1063;78;53;6
2020-05-09;1115;52;58;5
2020-05-10;1186;71;63;5
2020-05-11;1286;100;70;7
2020-05-12;1387;101;78;8
2020-05-13;1488;101;82;4
2020-05-14;1553;65;85;3
2020-05-15;1631;78;88;3
2020-05-16;1641;10;91;3
2020-05-17;1648;7;93;2
2020-05-18;1688;40;95;2
2020-05-19;1742;54;97;2
2020-05-20;1798;56;99;2
2020-05-21;1905;107;102;3
2020-05-22;2521;616;111;9
2020-05-23;2704;183;115;4
2020-05-24;2994;290;119;4
2020-05-25;3117;123;123;4
2020-05-26;3317;200;127;4
2020-05-27;3385;68;129;2
2020-05-28;3467;82;134;5
2020-05-29;3514;47;137;3
2020-05-30;3567;53;139;2
2020-05-31;3600;33;142;3
2020-06-01;3656;56;145;3
2020-06-02;3726;70;149;4
2020-06-03;3817;91;153;4
2020-06-04;3902;85;159;6
2020-06-05;3967;65;161;2
2020-06-06;4009;42;163;2
2020-06-07;4020;11;165;2
2020-06-08;4072;52;168;3
2020-06-09;4139;67;169;1
2020-06-10;4182;43;172;3
2020-06-11;4274;92;175;3
2020-06-12;4354;80;177;2
2020-06-13;4435;81;179;2
2020-06-14;4501;66;182;3
2020-06-15;4583;82;185;3
