Date;Total cases;New cases;Total deaths;New deaths
2020-04-01;62;0;1;0
2020-04-02;63;1;1;0
2020-04-04;65;2;1;0
2020-04-05;87;22;2;1
2020-04-06;92;5;2;0
2020-04-07;106;14;2;0
2020-04-08;107;1;3;1
2020-04-09;117;10;5;2
2020-04-12;130;13;6;1
2020-04-13;147;17;8;2
2020-04-14;167;20;10;2
2020-04-15;177;10;11;1
2020-04-16;185;8;12;1
2020-04-17;194;9;14;2
2020-04-18;198;4;14;0
2020-04-19;212;14;14;0
2020-04-20;232;20;16;2
2020-04-21;238;6;16;0
2020-04-22;242;4;16;0
2020-04-23;247;5;16;0
2020-04-24;253;6;17;1
2020-04-25;258;5;18;1
2020-04-26;264;6;19;1
2020-04-27;278;14;20;1
2020-04-28;288;10;22;2
2020-04-29;346;58;24;2
2020-04-30;405;59;25;1
2020-05-01;409;4;25;0
2020-05-02;431;22;26;1
2020-05-03;443;12;27;1
2020-05-04;470;27;29;2
2020-05-05;503;33;31;2
2020-05-06;527;24;33;2
2020-05-07;629;102;35;2
2020-05-10;801;172;41;6
2020-05-11;880;79;44;3
2020-05-12;985;105;47;3
2020-05-13;1063;78;53;6
2020-05-14;1115;52;58;5
2020-05-15;1186;71;63;5
2020-05-17;1286;100;70;7
2020-05-19;1387;101;78;8
2020-05-20;1488;101;82;4
2020-05-21;1553;65;85;3
2020-05-22;1631;78;88;3
2020-05-23;1641;10;91;3
2020-05-24;1648;7;93;2
2020-05-25;1688;40;95;2
2020-05-26;1742;54;97;2
2020-05-27;1798;56;99;2
2020-05-28;1905;107;102;3
2020-05-30;2521;616;111;9
2020-05-31;2704;183;115;4
2020-06-01;2994;290;119;4
2020-06-02;3117;123;123;4
2020-06-03;3317;200;127;4
2020-06-04;3385;68;129;2
2020-06-05;3467;82;134;5
2020-06-06;3514;47;137;3
2020-06-07;3567;53;139;2
2020-06-08;3600;33;142;3
2020-06-09;3656;56;145;3
2020-06-10;3726;70;149;4
2020-06-11;3817;91;153;4
2020-06-12;3902;85;159;6
2020-06-13;3967;65;161;2
2020-06-14;4009;42;163;2
2020-06-15;4020;11;165;2
2020-06-16;4072;52;168;3
2020-06-17;4139;67;169;1
2020-06-18;4182;43;172;3
2020-06-19;4274;92;175;3
2020-06-20;4354;80;177;2
2020-06-21;4435;81;179;2
2020-06-22;4501;66;182;3
2020-06-23;4583;82;185;3
